object_id,object_key,crowdsourced,in_tagsconfig,tagsconfig_categories,pivot_categories,tagged_categories,total_tag_rows,total_items,total_photos,pairs_total,pairs_pivotless,pivotless_items,cfg_materials,cfg_types,rows_with_type,ref_tagsconfig,ref_brandsconfig,ref_classifyservice,ref_fixorphaned,ref_translations,ref_other_app_code,duplicate_candidates,duplicate_reason
51,tinfoil,0,yes,food,food,food,2450,2600,2450,1,0,0,aluminium,,0,1,0,1,0,1,0,,
107,tissue,0,yes,sanitary,sanitary,sanitary,600,602,600,1,0,0,paper,,0,1,0,0,0,0,0,,
162,tobaccopouch,1,no,,,smoking,408,434,408,1,1,434,,,0,0,0,0,1,0,0,,
108,toothbrush,0,yes,sanitary,sanitary,sanitary,71,89,71,1,0,0,plastic|nylon|bamboo|wood,,0,1,1,1,0,1,0,,
109,toothpaste_tube,0,yes,sanitary,sanitary,,0,0,0,0,0,0,plastic|aluminium,,0,1,0,0,0,0,0,,
168,toothpick,1,no,,,sanitary,284,309,284,1,1,309,,,0,0,0,1,1,0,0,,
90,traffic_cone,0,yes,other,other,other,1,1,1,1,0,0,,,0,1,0,1,0,1,1,trafficCone#171,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
171,trafficCone,1,no,,,other,116,136,116,1,1,136,,,0,0,0,1,1,1,0,traffic_cone#90,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
52,tray,0,yes,food,food,food,2,2,2,1,0,0,plastic|foam|cardboard|aluminium,,0,1,0,0,0,0,0,,
134,trim,0,yes,vehicles,vehicles,,0,0,0,0,0,0,plastic,,0,1,0,1,0,0,0,,
135,tyre,0,yes,vehicles,vehicles,other,202,436,202,1,1,436,rubber,,0,1,0,0,1,2,1,,
101,umbrella,0,yes,other,other,,0,0,0,0,0,0,plastic|metal|cloth,,0,1,0,0,0,1,0,,
123,vape,0,yes,smoking,smoking,smoking,27,27,27,1,0,0,plastic|metal|glass,disposable|pen|device|pod|cartridge|mouthpiece|e_liquid_bottle|unknown,8,1,0,0,0,0,0,,
189,vapeOil,1,no,,,smoking,63,74,63,1,1,74,,,0,0,0,1,1,1,0,,
190,vapePen,1,no,,,smoking,484,582,484,1,1,582,,,0,0,0,1,1,1,0,,
21,walkability,0,yes,civic,civic,,0,0,0,0,0,0,,,0,1,0,0,0,0,0,,
152,washingUp,1,no,,,other,79,102,79,1,1,102,,,0,0,0,1,1,1,0,,
140,water_bottle,1,no,,,softdrinks,17189,21889,17189,1,1,21889,,,0,0,5,1,2,1,0,,
179,wetwipes,1,no,,,sanitary,3326,6052,3326,1,1,6052,,,0,0,0,0,1,1,1,,
136,wheel,0,yes,vehicles,vehicles,,0,0,0,0,0,0,metal|plastic|rubber,,0,1,0,0,0,1,0,,
139,wine_bottle,1,no,,,alcohol,638,863,638,1,1,863,,,0,0,0,1,1,1,0,,
12,wine_cork,0,yes,alcohol,alcohol,,0,0,0,0,0,0,cork|plastic,,0,1,0,0,0,0,0,,
104,wipes,0,yes,sanitary,sanitary,sanitary,36,80,36,1,0,0,polyester|plastic,,0,1,0,0,0,1,1,,
61,wire,0,yes,industrial,industrial,industrial,1,1,1,1,0,0,copper|plastic|steel,,0,1,0,0,0,1,0,,
53,wrapper,0,yes,food,food,food,19672,22565,19672,1,0,0,plastic|paper|foil|bioplastic,,0,1,24,1,0,1,0,,
